Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month
Buzzard Complex,NW,OR,2014-07-14,2014-09-11,395747.0,L,11062411.0,WF,2014.0,59,7
Carlton Complex,NW,WA,2014-07-14,2014-08-28,256108.0,L,68800000.0,WF,2014.0,45,7
Funny River,AK,AK,2014-05-19,2014-08-14,195858.0,H,11496627.0,WF,2014.0,87,5
Happy Camp Complex,NO,CA,2014-08-14,2014-12-04,134056.0,L,88214725.0,WF,2014.0,112,8
King,NO,CA,2014-09-13,2014-10-09,97717.0,H,119000000.0,WF,2014.0,26,9
Skunk,SW,AZ,2014-04-19,2014-06-26,73622.0,L,1800000.0,WF,2014.0,68,4
Big Cougar,Unknown,ID,2014-08-02,2014-08-22,65227.0,L,4500000.0,WF,2014.0,20,8
July Complex,NO,CA,2014-08-03,2014-09-25,50042.0,L,50295981.0,WF,2014.0,53,8
Shaniko Butte,NW,OR,2014-07-12,2014-09-25,42044.0,L,5200000.0,WF,2014.0,75,7
Glass Fire,SA,TX,2008-02-25,2008-03-02,219556.0,H,,WF,2008.0,6,2
Klamath Theater,NO,CA,2008-06-21,2008-09-26,192038.0,L,126086065.0,WF,2008.0,97,6
Basin Complex,SO,CA,2008-06-21,2008-07-29,162818.0,L,78096079.0,WF,2008.0,38,6
"Iron & Alps 
Complexes",NO,CA,2008-06-21,2008-09-04,105805.0,L,73974917.0,WF,2008.0,75,6
"Dunn Mtn. 
Assist",Unknown,MT,2008-08-21,2008-09-02,102383.0,L,2900000.0,WF,2008.0,12,8
Lime Complex,NO,CA,2008-06-20,2008-08-30,99585.0,L,59329698.0,WF,2008.0,71,6
Huckabee,SA,TX,2008-04-30,2008-05-08,98200.0,U,,WF,2008.0,8,4
"SHU Lightning 
Complex",NO,CA,2008-06-21,2008-07-30,86500.0,L,56438391.0,WF,2008.0,39,6
Complex,NO,CA,2008-06-21,2008-09-13,82186.0,L,65692836.0,WF,2008.0,84,6
Indians,SO,CA,2008-06-08,2008-07-12,76554.0,H,42500000.0,WF,2008.0,34,6
Panther,NO,CA,2008-07-22,2008-10-08,72344.0,L,,WF,2008.0,78,7
Gunbarrel,RM,WY,2008-07-26,2008-09-08,68148.0,L,11200000.0,WF,2008.0,44,7
,SA,TX,2008-03-14,2008-03-19,67500.0,H,,WF,2016.0,5,3
Stiles Complex,SW,NM,2008-03-14,2008-03-16,67008.0,H,71644.0,WF,2008.0,2,3
"BTU Lightning 
Complex",NO,CA,2008-06-21,2008-10-22,64995.0,L,94825683.0,WF,2008.0,123,6
"South 
Complex",NO,CA,2008-06-20,2008-11-05,58871.0,L,,WF,2008.0,138,6
"MEU Lightning 
Complex",NO,CA,2008-06-20,2008-12-01,54819.0,L,66000000.0,WF,2008.0,164,6
"East Slide Rock 
Ridge",WB,NV,2008-08-10,2008-09-14,54549.0,L,8873000.0,WF,2008.0,35,8
"NR 
NR 
Rocky",SW,NM,2008-06-18,2008-06-25,49132.0,L,2158700.0,WF,2008.0,7,6
"Canyon 
Complex",NO,CA,2008-06-21,2008-11-03,47680.0,L,,WF,2008.0,135,6
Bridger Fire,RM,CO,2008-06-08,2008-07-09,45800.0,L,,WF,2008.0,31,6
Hughes Ranch,SA,TX,2008-06-04,2008-06-09,45241.0,U,,WF,2008.0,5,6
Evans Road,SA,NC,2008-06-01,2008-09-29,40704.0,L,18249415.0,WF,2008.0,120,6
"NW Oklahoma
Complex",SA,OK,2017-03-07,2017-03-24,779292.0,U,,WF,2017.0,17,3
Perryton,SA,TX,2017-03-06,2017-03-13,318156.0,H,,WF,2017.0,7,3
Thomas,SO,CA,2017-12-04,2017-12-31,270000.0,U,123836000.0,WF,2017.0,27,12
"Lodgepole
Complex",Unknown,MT,2017-07-20,2017-08-11,270000.0,U,,WF,2017.0,22,7
Roosters Comb,GB,NV,2017-07-09,2017-07-24,218380.0,U,4000000.0,WF,2017.0,15,7
Chetco Bar,NW,OR,2017-07-12,2017-10-26,191125.0,L,72000000.0,WF,2017.0,106,7
Rice Ridge,Unknown,MT,2017-07-24,2017-10-17,160187.0,L,49251000.0,WF,2017.0,85,7
"Four Seasons
Complex",GB,NV,2017-07-16,2017-07-25,159986.0,U,,WF,2017.0,9,7
West Mims,SA,GA,2017-04-06,2017-06-29,152515.0,L,45500000.0,WF,2017.0,84,4
Lefors East,SA,TX,2017-03-07,2017-03-10,135000.0,H,,WF,2017.0,3,3
Diamond Creek,NW,WA,2017-07-23,2017-10-05,128272.0,U,14760000.0,WF,2017.0,74,7
"Central LNU
Complex",NO,CA,2017-10-09,2017-10-10,110720.0,U,,WF,2017.0,1,10
Sartin Draw,Unknown,MT,2017-08-30,2017-09-04,99735.0,L,1500000.0,WF,2017.0,5,8
Truckee,GB,NV,2017-07-03,2017-07-11,98960.0,U,2120260.0,WF,2017.0,8,7
Tohakum 2,GB,NV,2017-08-29,2017-07-11,94221.0,L,3456000.0,WF,2017.0,-49,8
Campbell River,AK,AK,2017-06-26,2017-10-12,93520.0,L,,WF,2017.0,108,6
Oak,NO,CA,2017-08-12,2017-09-23,86830.0,L,,WF,2017.0,42,8
Highline,GB,ID,2017-07-28,2017-09-21,84619.0,L,2167864.0,WF,2017.0,55,7
Long Valley,GB,CA,2017-07-11,2017-07-21,83733.0,U,11953000.0,WF,2017.0,10,7
"Modoc July
Complex",NO,CA,2017-07-24,2017-08-13,83120.0,U,,WF,2017.0,20,7
Detwiler,SO,CA,2017-07-16,2017-08-07,81826.0,U,90000000.0,WF,2017.0,22,7
"White Mountain
Creek",AK,AK,2017-07-03,2017-10-05,78857.0,L,,WF,2017.0,94,7
Eclipse Complex,NO,CA,2017-08-15,2017-10-08,78698.0,U,46006691.0,WF,2017.0,54,8
Brush Flat,Unknown,MT,2017-08-31,2017-09-04,73797.0,L,400000.0,WF,2017.0,4,8
Brianhead,GB,UT,2017-06-17,2017-07-24,71673.0,H,3660000.0,WF,2017.0,37,6
Nena Springs,NW,OR,2017-08-08,2017-08-29,68007.0,H,8900000.0,WF,2017.0,21,8
"Salmon August
Complex",NO,CA,2017-08-13,2017-10-04,65889.0,U,,WF,2017.0,52,8
Dry Gulch,GB,NV,2017-07-04,2017-07-11,64000.0,U,2700000.0,WF,2017.0,7,7
Meyers,Unknown,MT,2017-07-14,2017-10-13,62034.0,L,32800000.0,WF,2017.0,91,7
Snowstorm,GB,NV,2017-07-14,2017-07-15,60000.0,U,482448.0,WF,2017.0,1,7
Rim,SO,CA,2013-08-17,2013-10-24,257314.0,U,127350000.0,WF,2013.0,68,8
Lime Hills,AK,AK,2013-05-31,2013-08-29,201808.0,L,2883457.0,WF,2013.0,90,5
Moore Creek,AK,AK,2013-06-02,2013-08-29,157747.0,L,371499.0,WF,2013.0,88,6
Pony Complex,EB,ID,2013-08-09,2013-08-19,149384.0,L,4000000.0,WF,2013.0,10,8
Silver,SW,NM,2013-06-07,2013-09-10,138546.0,L,14300000.0,WF,2013.0,95,6
Elk Complex,EB,ID,2013-08-09,2013-08-31,131258.0,L,10720000.0,WF,2013.0,22,8
Beaver Creek,EB,ID,2013-08-07,2013-09-02,111490.0,L,26500000.0,WF,2013.0,26,8
West Fork Complex,RM,CO,2013-06-05,2013-10-31,109615.0,L,31261047.0,WF,2013.0,148,6
Stuart Creek #2,AK,AK,2013-06-19,2013-08-23,87064.0,H,20984698.0,WF,2013.0,65,6
Colockum Tarps,NW,WA,2013-07-27,2013-08-18,80184.0,H,11000000.0,WF,2013.0,22,7
Mississippi,AK,AK,2013-05-30,2013-11-02,67338.0,H,5220000.0,WF,2013.0,156,5
Beaver Log Lakes,AK,AK,2013-06-22,2013-08-28,64499.0,L,1847258.0,WF,2013.0,67,6
Prospect Creek,AK,AK,2013-06-20,2013-09-03,64078.0,L,98377.0,WF,2013.0,75,6
Sandless Lake,AK,AK,2013-06-25,2013-09-03,62318.0,L,10000.0,WF,2013.0,70,6
Sunnyside Turnoff,NW,OR,2013-07-20,2013-09-03,51340.0,H,4000000.0,WF,2013.0,45,7
Douglas Complex,NW,OR,2013-07-26,2013-10-18,48679.0,L,55000000.0,WF,2013.0,84,7
Sulatna River,AK,AK,2013-06-21,2013-08-28,47588.0,L,7000.0,WF,2013.0,68,6
Chisana River,AK,AK,2013-05-31,2013-10-23,46638.0,L,35776.0,WF,2013.0,145,5
Owyhee,NW,OR,2013-07-01,2013-07-08,46559.0,L,1843801.0,WF,2013.0,7,7
Gold Pan Complex,Unknown,MT,2013-07-16,2013-10-03,43429.0,L,11860878.0,WF,2013.0,79,7
Lime Complex,AK,AK,2022-06-15,2022-07-26,865625.0,U,12726992.0,WF,2022.0,41,6
Hermits Peak,SW,NM,2022-04-07,2022-10-20,341735.0,H,330100293.0,WF,2022.0,196,4
Black,SW,NM,2022-05-13,2022-11-10,325136.0,H,60190000.0,WF,2022.0,181,5
Paradise Complex,AK,AK,2022-07-07,2022-08-11,275703.0,U,2782896.0,WF,2022.0,35,7
Tatlawiksuk,AK,AK,2022-06-05,2022-07-22,229439.0,L,75965.0,WF,2022.0,47,6
NC HPAI 2022,SA,NC,2022-04-11,2022-04-19,212865.0,U,484012.0,WF,2022.0,8,4
Bean Complex,AK,AK,2022-06-25,2022-08-06,212504.0,U,11656365.0,WF,2022.0,42,6
Koktuli River,AK,AK,2022-06-08,2022-06-12,205862.0,L,,WF,2022.0,4,6
Hog Butte,AK,AK,2022-06-05,2022-07-06,204145.0,L,628717.0,WF,2022.0,31,6
Double Creek,NW,OR,2022-08-30,2022-10-21,171532.0,L,39500000.0,WF,2022.0,52,8
East Fork,AK,AK,2022-06-02,2022-07-27,166760.0,L,6150000.0,WF,2022.0,55,6
Poorman Complex,AK,AK,2022-06-28,2022-09-07,140355.0,U,,WF,2022.0,71,6
Moose,GB,ID,2022-07-17,2022-11-10,130205.0,H,98200000.0,WF,2022.0,116,7
Cedar Creek,NW,OR,2022-08-04,2022-11-24,127311.0,L,133750000.0,WF,2022.0,112,8
Aghaluk Mountain,AK,AK,2022-06-06,2022-06-14,115030.0,L,12726992.0,WF,2022.0,8,6
Door Mountain,AK,AK,2022-06-09,2022-06-10,114294.0,L,500.0,WF,2022.0,1,6
Chitanana,AK,AK,2022-06-19,2022-06-23,100246.0,L,1148818.0,WF,2022.0,4,6
