Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Contain_Control_Date,Year
Buzzard Complex,NW,OR,07/14/2014,09/11/2014,"395,747",L,"$11,062,411",WF,,2014.0
Carlton Complex,NW,WA,07/14/2014,08/28/2014,"256,108",L,"$68,800,000",WF,,2014.0
Funny River,AK,AK,05/19/2014,08/14/2014,"195,858",H,"$11,496,627",WF,,2014.0
Happy Camp Complex,NO,CA,08/14/2014,12/04/2014,"134,056",L,"$88,214,725",WF,,2014.0
King,NO,CA,09/13/2014,10/09/2014,"97,717",H,"$119,000,000",WF,,2014.0
Skunk,SW,AZ,04/19/2014,06/26/2014,"73,622",L,"$1,800,000",WF,,2014.0
Big Cougar,NR,ID,08/02/2014,08/22/2014,"65,227",L,"$4,500,000",WF,,2014.0
July Complex,NO,CA,08/03/2014,09/25/2014,"50,042",L,"$50,295,981",WF,,2014.0
Shaniko Butte,NW,OR,07/12/2014,09/25/2014,"42,044",L,"$5,200,000",WF,,2014.0
Glass Fire,SA,TX,02/25/2008,03/02/2008,"219,556",H,NR,WF,03/02/2008,2008.0
Klamath Theater,NO,CA,06/21/2008,09/26/2008,"192,038",L,"$126,086,065",WF,09/26/2008,2008.0
Basin Complex,SO,CA,06/21/2008,07/29/2008,"162,818",L,"$78,096,079",WF,07/29/2008,2008.0
"Iron & Alps 
Complexes",NO,CA,06/21/2008,09/04/2008,"105,805",L,"$73,974,917",WF,09/04/2008,2008.0
"Dunn Mtn. 
Assist",NR,MT,08/21/2008,09/02/2008,"102,383",L,"$2,900,000",WF,09/02/2008,2008.0
Lime Complex,NO,CA,06/20/2008,08/30/2008,"99,585",L,"$59,329,698",WF,08/30/2008,2008.0
Huckabee,SA,TX,04/30/2008,05/08/2008,"98,200",U,NR,WF,05/08/2008,2008.0
"SHU Lightning 
Complex",NO,CA,06/21/2008,07/30/2008,"86,500",L,"$56,438,391",WF,07/30/2008,2008.0
Complex,NO,CA,06/21/2008,09/13/2008,"82,186",L,"$65,692,836",WF,09/13/2008,2008.0
Indians,SO,CA,06/08/2008,07/12/2008,"76,554",H,"$42,500,000",WF,07/12/2008,2008.0
Panther,NO,CA,07/22/2008,10/08/2008,"72,344",L,NR,WF,10/08/2008,2008.0
Gunbarrel,RM,WY,07/26/2008,09/08/2008,"68,148",L,"$11,200,000",WF,09/08/2008,2008.0
,SA,TX,03/14/2008,03/19/2008,"67,500",H,NR,WF,03/19/2008,
Stiles Complex,SW,NM,03/14/2008,03/16/2008,"67,008",H,"$71,644",WF,03/16/2008,2008.0
"BTU Lightning 
Complex",NO,CA,06/21/2008,10/22/2008,"64,995",L,"$94,825,683",WF,10/22/2008,2008.0
"South 
Complex",NO,CA,06/20/2008,11/05/2008,"58,871",L,NR,WF,11/05/2008,2008.0
"MEU Lightning 
Complex",NO,CA,06/20/2008,12/01/2008,"54,819",L,"$66,000,000",WF,12/01/2008,2008.0
"East Slide Rock 
Ridge",WB,NV,08/10/2008,09/14/2008,"54,549",L,"$8,873,000",WF,09/14/2008,2008.0
"NR 
NR 
Rocky",SW,NM,06/18/2008,06/25/2008,"49,132",L,"$2,158,700",WF,06/25/2008,2008.0
"Canyon 
Complex",NO,CA,06/21/2008,11/03/2008,"47,680",L,NR,WF,11/03/2008,2008.0
Bridger Fire,RM,CO,06/08/2008,07/09/2008,"45,800",L,NR,WF,07/09/2008,2008.0
