Name,Start_Date,Last_Report_Date,Size_Acres,Cost,Year,Duration_Days,Start_Month,Start_Year,Start_Day,Start_Weekday,Last_Year,GACC_EB,GACC_GB,GACC_NO,GACC_NW,GACC_NW/WB,GACC_RM,GACC_SA,GACC_SO,GACC_SW,GACC_Unknown,GACC_WB,State_AZ,State_CA,State_CO,State_FL,State_GA,State_ID,State_KS,State_MN,State_MT,State_NC,State_NE,State_NM,State_NV,State_OK,State_OR,State_OR/NV,State_SD,State_TX,State_UT,State_WA,State_WY,Cause_L,Cause_N,Cause_U,Cause_Unknown
Buzzard Complex,2014-07-14,2014-09-11,395747.0,11062411.0,2014.0,59,7,2014,14,0,2014,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Carlton Complex,2014-07-14,2014-08-28,256108.0,68800000.0,2014.0,45,7,2014,14,0,2014,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
Funny River,2014-05-19,2014-08-14,195858.0,11496627.0,2014.0,87,5,2014,19,0,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Happy Camp Complex,2014-08-14,2014-12-04,134056.0,88214725.0,2014.0,112,8,2014,14,3,2014,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
King,2014-09-13,2014-10-09,97717.0,119000000.0,2014.0,26,9,2014,13,5,2014,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Skunk,2014-04-19,2014-06-26,73622.0,1800000.0,2014.0,68,4,2014,19,5,2014,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Big Cougar,2014-08-02,2014-08-22,65227.0,4500000.0,2014.0,20,8,2014,2,5,2014,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
July Complex,2014-08-03,2014-09-25,50042.0,50295981.0,2014.0,53,8,2014,3,6,2014,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Shaniko Butte,2014-07-12,2014-09-25,42044.0,5200000.0,2014.0,75,7,2014,12,5,2014,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Glass Fire,2008-02-25,2008-03-02,219556.0,7925100.0,2008.0,6,2,2008,25,0,2008,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Klamath Theater,2008-06-21,2008-09-26,192038.0,126086065.0,2008.0,97,6,2008,21,5,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Basin Complex,2008-06-21,2008-07-29,162818.0,78096079.0,2008.0,38,6,2008,21,5,2008,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"Iron & Alps 
Complexes",2008-06-21,2008-09-04,105805.0,73974917.0,2008.0,75,6,2008,21,5,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"Dunn Mtn. 
Assist",2008-08-21,2008-09-02,102383.0,2900000.0,2008.0,12,8,2008,21,3,2008,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Lime Complex,2008-06-20,2008-08-30,99585.0,59329698.0,2008.0,71,6,2008,20,4,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Huckabee,2008-04-30,2008-05-08,98200.0,7925100.0,2008.0,8,4,2008,30,2,2008,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
"SHU Lightning 
Complex",2008-06-21,2008-07-30,86500.0,56438391.0,2008.0,39,6,2008,21,5,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Complex,2008-06-21,2008-09-13,82186.0,65692836.0,2008.0,84,6,2008,21,5,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Indians,2008-06-08,2008-07-12,76554.0,42500000.0,2008.0,34,6,2008,8,6,2008,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Panther,2008-07-22,2008-10-08,72344.0,7925100.0,2008.0,78,7,2008,22,1,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Gunbarrel,2008-07-26,2008-09-08,68148.0,11200000.0,2008.0,44,7,2008,26,5,2008,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
,2008-03-14,2008-03-19,67500.0,7925100.0,2016.0,5,3,2008,14,4,2008,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Stiles Complex,2008-03-14,2008-03-16,67008.0,71644.0,2008.0,2,3,2008,14,4,2008,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"BTU Lightning 
Complex",2008-06-21,2008-10-22,64995.0,94825683.0,2008.0,123,6,2008,21,5,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"South 
Complex",2008-06-20,2008-11-05,58871.0,7925100.0,2008.0,138,6,2008,20,4,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"MEU Lightning 
Complex",2008-06-20,2008-12-01,54819.0,66000000.0,2008.0,164,6,2008,20,4,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"East Slide Rock 
Ridge",2008-08-10,2008-09-14,54549.0,8873000.0,2008.0,35,8,2008,10,6,2008,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
"NR 
NR 
Rocky",2008-06-18,2008-06-25,49132.0,2158700.0,2008.0,7,6,2008,18,2,2008,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
"Canyon 
Complex",2008-06-21,2008-11-03,47680.0,7925100.0,2008.0,135,6,2008,21,5,2008,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bridger Fire,2008-06-08,2008-07-09,45800.0,7925100.0,2008.0,31,6,2008,8,6,2008,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Hughes Ranch,2008-06-04,2008-06-09,45241.0,7925100.0,2008.0,5,6,2008,4,2,2008,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
Evans Road,2008-06-01,2008-09-29,40704.0,18249415.0,2008.0,120,6,2008,1,6,2008,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"NW Oklahoma
Complex",2017-03-07,2017-03-24,779292.0,7925100.0,2017.0,17,3,2017,7,1,2017,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Perryton,2017-03-06,2017-03-13,318156.0,7925100.0,2017.0,7,3,2017,6,0,2017,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Thomas,2017-12-04,2017-12-31,270000.0,123836000.0,2017.0,27,12,2017,4,0,2017,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Lodgepole
Complex",2017-07-20,2017-08-11,270000.0,7925100.0,2017.0,22,7,2017,20,3,2017,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
